NAME,ABBREV,SEASON,SEASON_ID,TEAM_ID,PLAYER_ID
Dejounte Murray,ATL,23,22023,0,80.0
Trae Young,ATL,23,22023,0,38.0
Clint Capela,ATL,23,22023,0,56.0
John Collins,ATL,23,22023,0,170.0
Onyeka Okongwu,ATL,23,22023,0,393.0
Jalen Johnson,ATL,23,22023,0,1236.0
De'Andre Hunter,ATL,23,22023,0,406.0
Frank Kaminsky,ATL,23,22023,0,536.0
Justin Holiday,ATL,23,22023,0,205.0
Aaron Holiday,ATL,23,22023,0,289.0
Trae Young,ATL,22,22022,0,38.0
Clint Capela,ATL,22,22022,0,56.0
John Collins,ATL,22,22022,0,170.0
Bogdan Bogdanovic,ATL,22,22022,0,215.0
Kevin Huerter,ATL,22,22022,0,370.0
Gorgui Dieng,ATL,22,22022,0,200.0
Danilo Gallinari,ATL,22,22022,0,61.0
Onyeka Okongwu,ATL,22,22022,0,393.0
De'Andre Hunter,ATL,22,22022,0,406.0
Delon Wright,ATL,22,22022,0,196.0
Lou Williams,ATL,22,22022,0,81.0
Cameron Oliver,ATL,22,22022,0,975.0
Timothe Luwawu-Cabarrot,ATL,22,22022,0,476.0
Jalen Johnson,ATL,22,22022,0,1236.0
Skylar Mays,ATL,22,22022,0,710.0
Wes Iwundu,ATL,22,22022,0,731.0
Sharife Cooper,ATL,22,22022,0,1252.0
Solomon Hill,ATL,22,22022,0,374.0
Clint Capela,ATL,21,22021,0,56.0
Bogdan Bogdanovic,ATL,21,22021,0,215.0
Trae Young,ATL,21,22021,0,38.0
John Collins,ATL,21,22021,0,170.0
De'Andre Hunter,ATL,21,22021,0,406.0
Kevin Huerter,ATL,21,22021,0,370.0
Skylar Mays,ATL,21,22021,0,710.0
Danilo Gallinari,ATL,21,22021,0,61.0
Nathan Knight,ATL,21,22021,0,670.0
Tony Snell,ATL,21,22021,0,396.0
Brandon Goodwin,ATL,21,22021,0,772.0
Onyeka Okongwu,ATL,21,22021,0,393.0
Cam Reddish,ATL,21,22021,0,1021.0
Solomon Hill,ATL,21,22021,0,374.0
Kris Dunn,ATL,21,22021,0,313.0
Bruno Fernando,ATL,21,22021,0,838.0
John Collins,ATL,20,22020,0,170.0
Trae Young,ATL,20,22020,0,38.0
Brandon Goodwin,ATL,20,22020,0,772.0
Bruno Fernando,ATL,20,22020,0,838.0
Vince Carter,ATL,20,22020,0,137.0
Chandler Parsons,ATL,20,22020,0,95.0
Kevin Huerter,ATL,20,22020,0,370.0
De'Andre Hunter,ATL,20,22020,0,406.0
Charlie Brown Jr.,ATL,20,22020,0,787.0
Damian Jones,ATL,20,22020,0,785.0
Cam Reddish,ATL,20,22020,0,1021.0
Tyrone Wallace,ATL,20,22020,0,761.0
Evan Turner,ATL,20,22020,0,411.0
DeAndre' Bembry,ATL,20,22020,0,492.0
Vince Carter,ATL,19,22019,0,137.0
John Collins,ATL,19,22019,0,170.0
Miles Plumlee,ATL,19,22019,0,580.0
Dewayne Dedmon,ATL,19,22019,0,298.0
Kevin Huerter,ATL,19,22019,0,370.0
Deyonta Davis,ATL,19,22019,0,824.0
Isaac Humphries,ATL,19,22019,0,1157.0
Kent Bazemore,ATL,19,22019,0,262.0
Justin Anderson,ATL,19,22019,0,702.0
DeAndre' Bembry,ATL,19,22019,0,492.0
Alex Poythress,ATL,19,22019,0,1216.0
Taurean Prince,ATL,19,22019,0,538.0
Omari Spellman,ATL,19,22019,0,1202.0
Trae Young,ATL,19,22019,0,38.0
Jaylen Adams,ATL,19,22019,0,983.0
Alex Len,ATL,19,22019,0,425.0
Daniel Hamilton,ATL,19,22019,0,830.0
Tyler Cavanaugh,ATL,18,22018,0,1175.0
Damion Lee,ATL,18,22018,0,409.0
John Collins,ATL,18,22018,0,170.0
Dewayne Dedmon,ATL,18,22018,0,298.0
Andrew White III,ATL,18,22018,0,1291.0
Josh Magette,ATL,18,22018,0,754.0
