player-id,player_season_id,NAME,TEAM,ORPM,DRPM,RPM,WINS,Season,SEASON_ID,PLAYER_ID
curryst01,curryst01-23,Stephen Curry,GS,9.02,0.19,9.21,3.04,23,22023,1
doncilu01,doncilu01-23,Luka Doncic,DAL,7.9,1.21,9.11,3.47,23,22023,34
tatumja01,tatumja01-23,Jayson Tatum,BOS,6.76,1.13,7.9,2.66,23,22023,15
antetgi01,antetgi01-23,Giannis Antetokounmpo,MIL,5.73,1.48,7.21,2.24,23,22023,22
jokicni01,jokicni01-23,Nikola Jokic,DEN,4.56,1.64,6.2,2.23,23,22023,2
mitchdo01,mitchdo01-23,Donovan Mitchell,CLE,5.65,-0.49,5.15,1.95,23,22023,90
hardeja01,hardeja01-23,James Harden,PHI,4.23,0.3,4.52,1.72,23,22023,3
halibty01,halibty01-23,Tyrese Haliburton,IND,4.76,-0.26,4.5,2.06,23,22023,118
lillada01,lillada01-23,Damian Lillard,POR,6.49,-2.04,4.45,1.17,23,22023,14
irvinky01,irvinky01-23,Kyrie Irving,BKN,4.25,0.15,4.41,1.63,23,22023,25
markkla01,markkla01-23,Lauri Markkanen,UTAH,3.68,0.59,4.27,2.28,23,22023,317
duranke01,duranke01-23,Kevin Durant,BKN,3.78,0.48,4.26,2.28,23,22023,7
murrade01,murrade01-23,Dejounte Murray,ATL,2.18,2.05,4.23,2.24,23,22023,80
jamesle01,jamesle01-23,LeBron James,LAL,3.83,0.2,4.03,1.86,23,22023,10
siakapa01,siakapa01-23,Pascal Siakam,TOR,3.7,0.32,4.02,1.6,23,22023,72
georgpa01,georgpa01-23,Paul George,LAC,3.26,0.72,3.98,1.92,23,22023,6
loveke01,loveke01-23,Kevin Love,CLE,3.93,-0.06,3.86,1.28,23,22023,13
butleji01,butleji01-23,Jimmy Butler,MIA,2.02,1.76,3.78,1.65,23,22023,11
stewais01,stewais01-23,Isaiah Stewart,DET,1.76,1.97,3.73,1.61,23,22023,337
oubreke01,oubreke01-23,Kelly Oubre Jr.,CHA,1.51,2.2,3.71,1.74,23,22023,359
porzikr01,porzikr01-23,Kristaps Porzingis,WSH,2.44,1.14,3.58,1.55,23,22023,104
hieldbu01,hieldbu01-23,Buddy Hield,IND,3.59,-0.02,3.57,1.7,23,22023,144
banede01,banede01-23,Desmond Bane,MEM,3.54,-0.04,3.51,1.7,23,22023,83
vanvlfr01,vanvlfr01-23,Fred VanVleet,TOR,1.67,1.73,3.4,1.53,23,22023,43
sabondo01,sabondo01-23,Domantas Sabonis,SAC,2.2,1.15,3.35,1.49,23,22023,77
gordoaa01,gordoaa01-23,Aaron Gordon,DEN,1.99,1.29,3.28,1.38,23,22023,212
moranja01,moranja01-23,Ja Morant,MEM,4.12,-0.88,3.24,1.59,23,22023,141
holidjr01,holidjr01-23,Jrue Holiday,MIL,2.82,0.39,3.21,1.61,23,22023,24
lopezbr01,lopezbr01-23,Brook Lopez,MIL,1.24,1.95,3.18,1.62,23,22023,99
gilgesh01,gilgesh01-23,Shai Gilgeous-Alexander,OKC,2.83,0.29,3.12,1.72,23,22023,202
turnemy01,turnemy01-23,Myles Turner,IND,1.72,1.39,3.11,0.75,23,22023,158
bookede01,bookede01-23,Devin Booker,PHX,3.15,-0.11,3.04,1.68,23,22023,49
hausesa01,hausesa01-23,Sam Hauser,BOS,3.96,-0.93,3.03,0.87,23,22023,681
youngtr01,youngtr01-23,Trae Young,ATL,4.9,-1.95,2.95,1.68,23,22023,38
davisan02,davisan02-23,Anthony Davis,LAL,0.66,2.02,2.68,1.5,23,22023,9
simonan01,simonan01-23,Anfernee Simons,POR,3.05,-0.41,2.63,1.39,23,22023,424
paulch01,paulch01-23,Chris Paul,PHX,0.94,1.61,2.55,1.16,23,22023,4
dinwisp01,dinwisp01-23,Spencer Dinwiddie,DAL,1.79,0.73,2.53,1.36,23,22023,121
valanjo01,valanjo01-23,Jonas Valanciunas,NO,0.92,1.61,2.52,1.13,23,22023,181
foxde01,foxde01-23,De'Aaron Fox,SAC,3.53,-1.01,2.52,1.22,23,22023,128
wiggian01,wiggian01-23,Andrew Wiggins,GS,1.04,1.4,2.44,1.33,23,22023,153
portemi01,portemi01-23,Michael Porter Jr.,DEN,1.29,1.12,2.41,1.13,23,22023,191
muscami01,muscami01-23,Mike Muscala,OKC,2.33,0,2.33,0.61,23,22023,376
harrito02,harrito02-23,Tobias Harris,PHI,-0.35,2.69,2.33,1.5,23,22023,127
embiijo01,embiijo01-23,Joel Embiid,PHI,2.54,-0.22,2.32,1.01,23,22023,17
johnske04,johnske04-23,Keldon Johnson,SA,2.73,-0.41,2.32,1.51,23,22023,224
brunsja01,brunsja01-23,Jalen Brunson,NY,2.22,0.09,2.32,1.36,23,22023,139
johnsca02,johnsca02-23,Cameron Johnson,PHX,1.24,1.01,2.26,0.78,23,22023,178
brownja02,brownja02-23,Jaylen Brown,BOS,2.1,0.11,2.21,1.31,23,22023,107
lavinza01,lavinza01-23,Zach LaVine,CHI,2.22,-0.01,2.2,1.18,23,22023,155
townska01,townska01-23,Karl-Anthony Towns,MIN,2.5,-0.42,2.09,1.67,23,22023,30
sengual01,sengual01-23,Alperen Sengun,HOU,2.18,-0.12,2.05,1.04,23,22023,738
herroty01,herroty01-23,Tyler Herro,MIA,1.34,0.69,2.02,1.09,23,22023,219
goodwjo01,goodwjo01-23,Jordan Goodwin,WSH,1.66,0.34,2,0.39,23,22023,1118
anunoog01,anunoog01-23,OG Anunoby,TOR,-1.22,3.18,1.96,1.54,23,22023,260
morrima03,morrima03-23,Marcus Morris Sr.,LAC,0.13,1.83,1.95,1.07,23,22023,334
claxtni01,claxtni01-23,Nic Claxton,BKN,-0.51,2.41,1.9,1.16,23,22023,586
kuzmaky01,kuzmaky01-23,Kyle Kuzma,WSH,1.03,0.86,1.89,1.34,23,22023,457
clarkjo01,clarkjo01-23,Jordan Clarkson,UTAH,2.61,-0.79,1.81,1.37,23,22023,152
daviste02,daviste02-23,Terence Davis,SAC,1.89,-0.08,1.81,0.48,23,22023,365
mccolcj01,mccolcj01-23,CJ McCollum,NO,0.92,0.88,1.8,1.53,23,22023,58
vassede01,vassede01-23,Devin Vassell,SA,2.32,-0.55,1.76,1.01,23,22023,438
horfoal01,horfoal01-23,Al Horford,BOS,0.62,1.12,1.74,0.73,23,22023,60
lowryky01,lowryky01-23,Kyle Lowry,MIA,0.16,1.58,1.73,1.34,23,22023,20
goberru01,goberru01-23,Rudy Gobert,MIN,-0.52,2.23,1.71,1.14,23,22023,16
aldamsa01,aldamsa01-23,Santi Aldama,MEM,-1.05,2.76,1.71,1.05,23,22023,1240
