NAME,TEAM,ORPM,DRPM,RPM,WINS,Season,SEASON_ID,PLAYER_ID
Stephen Curry,GS,9.02,0.19,9.21,3.04,23,22023,1.0
Luka Doncic,DAL,7.9,1.21,9.11,3.47,23,22023,34.0
Jayson Tatum,BOS,6.76,1.13,7.9,2.66,23,22023,15.0
Giannis Antetokounmpo,MIL,5.73,1.48,7.21,2.24,23,22023,22.0
Nikola Jokic,DEN,4.56,1.64,6.2,2.23,23,22023,2.0
Donovan Mitchell,CLE,5.65,-0.49,5.15,1.95,23,22023,90.0
James Harden,PHI,4.23,0.3,4.52,1.72,23,22023,3.0
Tyrese Haliburton,IND,4.76,-0.26,4.5,2.06,23,22023,118.0
Damian Lillard,POR,6.49,-2.04,4.45,1.17,23,22023,14.0
Kyrie Irving,BKN,4.25,0.15,4.41,1.63,23,22023,25.0
Lauri Markkanen,UTAH,3.68,0.59,4.27,2.28,23,22023,317.0
Kevin Durant,BKN,3.78,0.48,4.26,2.28,23,22023,7.0
Dejounte Murray,ATL,2.18,2.05,4.23,2.24,23,22023,80.0
LeBron James,LAL,3.83,0.2,4.03,1.86,23,22023,10.0
Pascal Siakam,TOR,3.7,0.32,4.02,1.6,23,22023,72.0
Paul George,LAC,3.26,0.72,3.98,1.92,23,22023,6.0
Kevin Love,CLE,3.93,-0.06,3.86,1.28,23,22023,13.0
Jimmy Butler,MIA,2.02,1.76,3.78,1.65,23,22023,11.0
Isaiah Stewart,DET,1.76,1.97,3.73,1.61,23,22023,337.0
Kelly Oubre Jr.,CHA,1.51,2.2,3.71,1.74,23,22023,359.0
Kristaps Porzingis,WSH,2.44,1.14,3.58,1.55,23,22023,104.0
Buddy Hield,IND,3.59,-0.02,3.57,1.7,23,22023,144.0
Desmond Bane,MEM,3.54,-0.04,3.51,1.7,23,22023,83.0
Fred VanVleet,TOR,1.67,1.73,3.4,1.53,23,22023,43.0
Domantas Sabonis,SAC,2.2,1.15,3.35,1.49,23,22023,77.0
Aaron Gordon,DEN,1.99,1.29,3.28,1.38,23,22023,212.0
Ja Morant,MEM,4.12,-0.88,3.24,1.59,23,22023,141.0
Jrue Holiday,MIL,2.82,0.39,3.21,1.61,23,22023,24.0
Brook Lopez,MIL,1.24,1.95,3.18,1.62,23,22023,99.0
Shai Gilgeous-Alexander,OKC,2.83,0.29,3.12,1.72,23,22023,202.0
Myles Turner,IND,1.72,1.39,3.11,0.75,23,22023,158.0
Devin Booker,PHX,3.15,-0.11,3.04,1.68,23,22023,49.0
Sam Hauser,BOS,3.96,-0.93,3.03,0.87,23,22023,681.0
Trae Young,ATL,4.9,-1.95,2.95,1.68,23,22023,38.0
Anthony Davis,LAL,0.66,2.02,2.68,1.5,23,22023,9.0
Anfernee Simons,POR,3.05,-0.41,2.63,1.39,23,22023,424.0
Chris Paul,PHX,0.94,1.61,2.55,1.16,23,22023,4.0
Spencer Dinwiddie,DAL,1.79,0.73,2.53,1.36,23,22023,121.0
Jonas Valanciunas,NO,0.92,1.61,2.52,1.13,23,22023,181.0
De'Aaron Fox,SAC,3.53,-1.01,2.52,1.22,23,22023,128.0
Andrew Wiggins,GS,1.04,1.4,2.44,1.33,23,22023,153.0
Michael Porter Jr.,DEN,1.29,1.12,2.41,1.13,23,22023,191.0
Mike Muscala,OKC,2.33,0.0,2.33,0.61,23,22023,376.0
Tobias Harris,PHI,-0.35,2.69,2.33,1.5,23,22023,127.0
Joel Embiid,PHI,2.54,-0.22,2.32,1.01,23,22023,17.0
Keldon Johnson,SA,2.73,-0.41,2.32,1.51,23,22023,224.0
Jalen Brunson,NY,2.22,0.09,2.32,1.36,23,22023,139.0
Cameron Johnson,PHX,1.24,1.01,2.26,0.78,23,22023,178.0
Jaylen Brown,BOS,2.1,0.11,2.21,1.31,23,22023,107.0
Zach LaVine,CHI,2.22,-0.01,2.2,1.18,23,22023,155.0
Karl-Anthony Towns,MIN,2.5,-0.42,2.09,1.67,23,22023,30.0
Alperen Sengun,HOU,2.18,-0.12,2.05,1.04,23,22023,738.0
Tyler Herro,MIA,1.34,0.69,2.02,1.09,23,22023,219.0
Jordan Goodwin,WSH,1.66,0.34,2.0,0.39,23,22023,1118.0
OG Anunoby,TOR,-1.22,3.18,1.96,1.54,23,22023,260.0
Marcus Morris Sr.,LAC,0.13,1.83,1.95,1.07,23,22023,334.0
Nic Claxton,BKN,-0.51,2.41,1.9,1.16,23,22023,586.0
Kyle Kuzma,WSH,1.03,0.86,1.89,1.34,23,22023,457.0
Jordan Clarkson,UTAH,2.61,-0.79,1.81,1.37,23,22023,152.0
Terence Davis,SAC,1.89,-0.08,1.81,0.48,23,22023,365.0
CJ McCollum,NO,0.92,0.88,1.8,1.53,23,22023,58.0
Devin Vassell,SA,2.32,-0.55,1.76,1.01,23,22023,438.0
Al Horford,BOS,0.62,1.12,1.74,0.73,23,22023,60.0
Kyle Lowry,MIA,0.16,1.58,1.73,1.34,23,22023,20.0
Rudy Gobert,MIN,-0.52,2.23,1.71,1.14,23,22023,16.0
Santi Aldama,MEM,-1.05,2.76,1.71,1.05,23,22023,1240.0
Jeremiah Robinson-Earl,OKC,0.29,1.39,1.68,0.66,23,22023,1203.0
Delon Wright,WSH,-0.22,1.88,1.66,0.3,23,22023,196.0
Max Strus,MIA,1.38,0.15,1.53,1.31,23,22023,299.0
John Wall,LAC,2.44,-0.95,1.49,0.87,23,22023,44.0
De'Anthony Melton,PHI,-0.38,1.85,1.48,0.9,23,22023,198.0
Mike Conley,UTAH,1.64,-0.22,1.41,1.21,23,22023,23.0
Julius Randle,NY,1.75,-0.35,1.4,1.17,23,22023,59.0
Clint Capela,ATL,-2.3,3.57,1.27,0.95,23,22023,56.0
Saddiq Bey,DET,1.06,0.2,1.26,1.24,23,22023,635.0
Marcus Smart,BOS,1.06,0.18,1.24,0.98,23,22023,76.0
Naz Reid,MIN,1.58,-0.39,1.19,0.51,23,22023,487.0
Luguentz Dort,OKC,-0.18,1.35,1.17,1.09,23,22023,268.0
Jock Landale,PHX,1.46,-0.34,1.12,0.69,23,22023,789.0
Jakob Poeltl,SA,-0.03,1.13,1.1,1.08,23,22023,88.0
DeMar DeRozan,CHI,0.96,0.13,1.1,1.38,23,22023,78.0
Gary Trent Jr.,TOR,0.95,0.14,1.09,1.24,23,22023,246.0
Malik Monk,SAC,2.83,-1.77,1.06,0.85,23,22023,284.0
Kevin Huerter,SAC,0.96,0.08,1.04,0.95,23,22023,370.0
Mikal Bridges,PHX,-0.34,1.38,1.04,1.14,23,22023,63.0
Obi Toppin,NY,1.42,-0.38,1.04,0.74,23,22023,529.0
Tyrese Maxey,PHI,1.03,-0.05,0.98,1.29,23,22023,320.0
Mitchell Robinson,NY,-0.98,1.94,0.96,0.44,23,22023,159.0
Wendell Carter Jr.,ORL,-0.07,1.01,0.94,1.12,23,22023,301.0
Bradley Beal,WSH,1.98,-1.06,0.92,0.91,23,22023,27.0
Nikola Vucevic,CHI,0.24,0.67,0.91,1.23,23,22023,32.0
Bobby Portis,MIL,0.39,0.49,0.88,1.0,23,22023,197.0
Zion Williamson,NO,0.92,-0.04,0.88,0.92,23,22023,125.0
Anthony Edwards,MIN,1.12,-0.24,0.87,1.34,23,22023,140.0
Bojan Bogdanovic,DET,1.37,-0.5,0.87,1.02,23,22023,257.0
Grant Williams,BOS,0.74,0.11,0.84,0.82,23,22023,463.0
Chris Boucher,TOR,0.66,0.15,0.81,0.61,23,22023,296.0
Dennis Smith Jr.,CHA,-1.46,2.27,0.81,1.06,23,22023,512.0
Gorgui Dieng,SA,1.8,-1.04,0.76,0.19,23,22023,200.0
Talen Horton-Tucker,UTAH,0.48,0.25,0.74,0.73,23,22023,462.0
Trey Murphy III,NO,0.59,0.14,0.73,1.1,23,22023,573.0
Bol Bol,ORL,-0.22,0.89,0.67,0.8,23,22023,1112.0
Cade Cunningham,DET,0.75,-0.11,0.64,1.06,23,22023,539.0
Lonnie Walker IV,LAL,0.27,0.35,0.62,0.78,23,22023,1172.0
Klay Thompson,GS,1.41,-0.79,0.62,0.67,23,22023,31.0
Jerami Grant,POR,-0.06,0.68,0.62,0.97,23,22023,213.0
Kevon Looney,GS,-1.08,1.68,0.6,0.65,23,22023,229.0
Otto Porter Jr.,TOR,0.25,0.26,0.51,0.28,23,22023,52.0
Kenyon Martin Jr.,HOU,0.79,-0.28,0.5,0.87,23,22023,1182.0
Jalen Suggs,ORL,0.62,-0.14,0.48,0.49,23,22023,575.0
Mason Plumlee,CHA,-0.28,0.75,0.47,0.85,23,22023,338.0
Terry Rozier,CHA,2.12,-1.66,0.46,0.55,23,22023,74.0
Josh Green,DAL,0.43,-0.03,0.39,0.61,23,22023,491.0
Joe Harris,BKN,-0.2,0.46,0.26,0.59,23,22023,148.0
D'Angelo Russell,MIN,0.54,-0.29,0.25,0.92,23,22023,113.0
Charles Bassey,SA,-0.27,0.5,0.23,0.16,23,22023,768.0
Mo Bamba,ORL,0.72,-0.49,0.23,0.46,23,22023,458.0
Scottie Barnes,TOR,0.12,0.1,0.21,0.84,23,22023,206.0
John Collins,ATL,-1.41,1.61,0.2,0.91,23,22023,170.0
Isaiah Joe,OKC,0.58,-0.39,0.19,0.11,23,22023,600.0
Jalen Green,HOU,0.77,-0.58,0.19,0.97,23,22023,1315.0
