TEAMSEASID,SEASON,TEAM_ID,SEASON_ID,NAME,GP,W,L,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
hawks-14,14,0,22014,hawks,82,38,44,104.9,105.7,-0.7,66.7,1.63,18.8,25.6,71.1,48.5,15.9,51.5,55.4,95.41,50.2,"7,892"
celtics-14,14,1,22014,celtics,82,25,57,101.9,106.5,-4.6,57.6,1.37,16.2,31.4,70.8,50.5,16.3,47.7,51.7,94.28,46.1,"7,745"
nets-14,14,2,22014,nets,82,44,38,105.4,106.7,-1.3,58.5,1.44,16.7,26,68.6,47.5,15.5,51.4,55.5,92.42,49.2,"7,663"
hornets-14,14,3,22014,hornets,82,43,39,103,103.3,-0.4,59.7,1.76,16.9,26.9,73,50,13.1,48.1,52.2,92.93,50.8,"7,712"
bulls-14,14,4,22014,bulls,82,48,34,101.7,99.9,1.9,65.4,1.52,17.6,32.1,71.3,51.8,16.2,47.1,51.8,90.84,52.8,"7,549"
cavs-14,14,5,22014,cavs,82,33,49,103.5,107,-3.6,57.2,1.49,16.2,31.4,71.1,50.8,14.9,47.9,51.8,93.69,46.9,"7,784"
mavericks-14,14,6,22014,mavericks,82,49,33,109.5,107.2,2.3,59.6,1.74,18,27.6,69.4,48.7,14.1,52.6,56.4,94.94,52.1,"7,852"
nuggets-14,14,7,22014,nuggets,82,36,46,105.1,107.3,-2.2,58.4,1.41,16.4,31,70.3,50.5,16,49.7,53.6,98.95,48.1,"8,146"
pistons-14,14,8,22014,pistons,82,29,53,105.2,109,-3.7,53.9,1.44,15.6,34.7,69.3,51.1,15.2,48.2,51.4,95.57,46.4,"7,874"
warriors-14,14,9,22014,warriors,82,51,31,106.3,101.4,4.9,59.1,1.53,17.4,28.4,72.4,50.8,15.5,51.7,55,97.37,52.8,"8,045"
rockets-14,14,10,22014,rockets,82,54,28,109.8,105.2,4.6,56.3,1.33,16.1,30.6,70,51.3,16.5,53.1,57.1,97.27,53.4,"8,040"
pacers-14,14,11,22014,pacers,82,56,26,103.6,98.9,4.7,56,1.33,15.9,29.6,72.1,51.7,16.2,49,53.5,92.89,54.5,"7,656"
